temperature;year;month;country
17.2795;1925;8;Slovenia
12.1872;1925;9;Slovenia
9.68741;1925;10;Slovenia
3.72562;1925;11;Slovenia
-2.0386;1925;12;Slovenia
-1.9818;1926;1;Slovenia
4.28656;1926;2;Slovenia
3.71659;1926;3;Slovenia
9.40283;1926;4;Slovenia
11.4141;1926;5;Slovenia
13.8109;1926;6;Slovenia
16.4211;1926;7;Slovenia
16.4796;1926;8;Slovenia
15.5292;1926;9;Slovenia
10.2343;1926;10;Slovenia
8.79835;1926;11;Slovenia
-0.5569;1926;12;Slovenia
-0.1265;1927;1;Slovenia
-0.611;1927;2;Slovenia
5.69452;1927;3;Slovenia
8.40169;1927;4;Slovenia
12.4149;1927;5;Slovenia
17.3471;1927;6;Slovenia
18.9323;1927;7;Slovenia
18.1174;1927;8;Slovenia
14.6874;1927;9;Slovenia
9.25719;1927;10;Slovenia
5.22253;1927;11;Slovenia
-1.8914;1927;12;Slovenia
-0.7616;1928;1;Slovenia
1.05332;1928;2;Slovenia
2.65404;1928;3;Slovenia
8.71471;1928;4;Slovenia
9.94334;1928;5;Slovenia
15.7258;1928;6;Slovenia
20.7988;1928;7;Slovenia
19.3273;1928;8;Slovenia
13.9885;1928;9;Slovenia
9.35389;1928;10;Slovenia
5.20394;1928;11;Slovenia
-1.334;1928;12;Slovenia
-5.76;1929;1;Slovenia
-5.8225;1929;2;Slovenia
3.01863;1929;3;Slovenia
5.76142;1929;4;Slovenia
13.7448;1929;5;Slovenia
16.3718;1929;6;Slovenia
18.8397;1929;7;Slovenia
18.6382;1929;8;Slovenia
15.319;1929;9;Slovenia
9.70249;1929;10;Slovenia
5.0418;1929;11;Slovenia
1.13261;1929;12;Slovenia
0.42845;1930;1;Slovenia
-0.4631;1930;2;Slovenia
5.66968;1930;3;Slovenia
8.81656;1930;4;Slovenia
11.8129;1930;5;Slovenia
17.9427;1930;6;Slovenia
17.3377;1930;7;Slovenia
17.1127;1930;8;Slovenia
14.9546;1930;9;Slovenia
8.8943;1930;10;Slovenia
6.3154;1930;11;Slovenia
0.0115;1930;12;Slovenia
-1.0363;1931;1;Slovenia
-0.4959;1931;2;Slovenia
1.47907;1931;3;Slovenia
6.59465;1931;4;Slovenia
14.5133;1931;5;Slovenia
18.2789;1931;6;Slovenia
19.045;1931;7;Slovenia
17.2188;1931;8;Slovenia
10.2069;1931;9;Slovenia
8.34349;1931;10;Slovenia
4.292;1931;11;Slovenia
-1.7249;1931;12;Slovenia
-0.2582;1932;1;Slovenia
-4.5322;1932;2;Slovenia
0.14329;1932;3;Slovenia
6.91335;1932;4;Slovenia
12.8338;1932;5;Slovenia
14.8631;1932;6;Slovenia
18.5925;1932;7;Slovenia
20.1223;1932;8;Slovenia
17.6183;1932;9;Slovenia
9.66705;1932;10;Slovenia
4.69037;1932;11;Slovenia
1.24535;1932;12;Slovenia
-3.2191;1933;1;Slovenia
-0.3577;1933;2;Slovenia
4.17758;1933;3;Slovenia
7.28645;1933;4;Slovenia
10.8625;1933;5;Slovenia
13.2255;1933;6;Slovenia
18.0729;1933;7;Slovenia
17.8991;1933;8;Slovenia
13.726;1933;9;Slovenia
9.29578;1933;10;Slovenia
3.38343;1933;11;Slovenia
-3.8749;1933;12;Slovenia
-1.43;1934;1;Slovenia
0.59361;1934;2;Slovenia
5.59598;1934;3;Slovenia
10.4661;1934;4;Slovenia
14.3335;1934;5;Slovenia
15.5341;1934;6;Slovenia
18.4797;1934;7;Slovenia
17.1442;1934;8;Slovenia
15.3505;1934;9;Slovenia
9.02436;1934;10;Slovenia
4.7327;1934;11;Slovenia
3.62924;1934;12;Slovenia
-4.1514;1935;1;Slovenia
0.13488;1935;2;Slovenia
2.32799;1935;3;Slovenia
7.49876;1935;4;Slovenia
11.0708;1935;5;Slovenia
18.2172;1935;6;Slovenia
18.3894;1935;7;Slovenia
17.0857;1935;8;Slovenia
14.3296;1935;9;Slovenia
10.7735;1935;10;Slovenia
4.43448;1935;11;Slovenia
-0.3879;1935;12;Slovenia
2.48705;1936;1;Slovenia
1.1835;1936;2;Slovenia
5.96444;1936;3;Slovenia
8.38898;1936;4;Slovenia
13.0484;1936;5;Slovenia
15.586;1936;6;Slovenia
18.6798;1936;7;Slovenia
16.8538;1936;8;Slovenia
13.9426;1936;9;Slovenia
5.5802;1936;10;Slovenia
3.8052;1936;11;Slovenia
0.26246;1936;12;Slovenia
-1.9453;1937;1;Slovenia
1.75976;1937;2;Slovenia
4.50787;1937;3;Slovenia
7.3032;1937;4;Slovenia
14.1781;1937;5;Slovenia
17.2431;1937;6;Slovenia
17.8818;1937;7;Slovenia
16.8737;1937;8;Slovenia
13.7228;1937;9;Slovenia
9.55304;1937;10;Slovenia
3.34489;1937;11;Slovenia
-1.207;1937;12;Slovenia
-2.0012;1938;1;Slovenia
-0.0614;1938;2;Slovenia
6.55333;1938;3;Slovenia
4.78428;1938;4;Slovenia
11.1452;1938;5;Slovenia
18.0053;1938;6;Slovenia
18.2399;1938;7;Slovenia
17.1502;1938;8;Slovenia
13.563;1938;9;Slovenia
10.3625;1938;10;Slovenia
6.10538;1938;11;Slovenia
-1.8007;1938;12;Slovenia
0.81503;1939;1;Slovenia
2.43319;1939;2;Slovenia
0.87677;1939;3;Slovenia
10.5888;1939;4;Slovenia
10.5958;1939;5;Slovenia
16.1632;1939;6;Slovenia
18.3657;1939;7;Slovenia
17.8795;1939;8;Slovenia
13.4993;1939;9;Slovenia
8.0975;1939;10;Slovenia
5.13482;1939;11;Slovenia
-1.7097;1939;12;Slovenia
-6.2195;1940;1;Slovenia
-2.2866;1940;2;Slovenia
2.50441;1940;3;Slovenia
8.06523;1940;4;Slovenia
11.545;1940;5;Slovenia
15.4818;1940;6;Slovenia
16.6697;1940;7;Slovenia
15.0937;1940;8;Slovenia
